,Job Title,Company Name,Location,Work Mode,Employment Type,Company Headcount,Industry,JD,JobID
0,SENIOR COMPUTER VISION DATA SCIENTIST,80 Acres Farms,"Hamilton, OH",On-site,Full-time · Mid-Senior level,201-500 employees,Farming,"About The Company

The Future of Fresh is Here!

Food isn’t what it used to be. We made it better, and we did it by building a different kind of farm. A farm that doesn’t need sun, soil or favorable weather to do its thing. A farm where pesticides have no place—because everything’s indoors, monitored and controlled, 24/7. We built a farm where robots do the heavy lifting, so the humans can focus on growing the freshest, most nutritious food possible. A farm that can produce over 300 times more food than an ordinary farm. With 100% renewable energy. And 97% less water. Pretty unbelievable, right? Well, believe it. This farm is real. We call it 80 Acres Farms. Fresher food awaits you.

Powering 80 Acres Farms is the Infinite Acres technology platform, our closed loop, integrated, end-to end system with best-in-class hardware, software, and controls. The research and data teams at Infinite Acres give our farms the information and technology that make our plants grow better.

By combining our world-class technology with super-efficient vertical farming techniques, we produce a lot more in a much smaller space.

If you’re the kind of person who wants to make a difference and is fast on your feet, join a team that is shaking things up in the local food chain.

Position Overview

Come grow with us! We are looking for an enterprising, knowledgeable, and personable data scientist with a good understanding of computer vision techniques and applications, who will help guide the business to the next level.

The successful candidate will have strong interpersonal skills with the ability to interact across all departments of the company. They are a self-starter with a capability to learn, prioritize and organize effectively with minimal supervision.

Key Responsibilities & Duties
Lead the development of computer vision-based techniques for understanding/monitoring plant development and for predictive harvest modeling
Serve as a key computer vision SME across the company
Develop and help produce imaging pipelines that analyze large volumes of image data from our next-generation facilities
Test new imaging hardware/software
Help vet potential 3rd party collaborations on imaging projects
Lead data scientists’ team
Collaborate with departments across the business to ensure key business needs are being answered with new technology capabilities

Specialized Knowledge, Skills Or Abilities
Understanding of techniques used in computer vision/image processing, such as object segmentation, image augmentation, deep learning, transfer learning
Proficiency in Python and/or R:
Expert-level knowledge of standard open-source data science packages such as Panda, NumPy, Scikit-Learn, etc.
Familiarity with the packages used for classic image processing, such as OpenCV, as well as with those needed for deep learning modeling, such as Keras, Tensorfow, Pytorch
Expert-level knowledge of machine learning algorithms, particularly those relevant to computer vision/image processing, such as object segmentation, image augmentation, deep learning, transfer learning
AWS experience
AgTech experience
Familiarity with a broad range of imaging applications and techniques in spectra other than visual (e.g., thermal, hyperspectral, etc.), familiarity with 3D/Lidar imaging & point cloud reconstructions is preferred

Qualifications
Master’s or PhD degree in computer science, electrical engineering, physics, or similar field
5+ years prior experience in industrial computer vision applications

Benefits We Offer You
Day one health, dental, and vision insurance
Paid vacation
1-week paid health & wellness time
10 paid holidays
401k with 4% company contribution
Company paid life insurance
Short and long-term disability insurance

Statistics show that underrepresented communities don’t apply for a job unless they meet 100% of the qualifications. Don’t worry if you think you can’t check every box on the list; we’ll provide all the on-the-job training you need.

80 Acres Farms is an equal opportunity employer. You’re defined by more than just your job title, and we want you to feel comfortable bringing your true self to work. We value your talents, your traditions, your take on the world, and everything else that makes you unique. We strive to be to be a place where a diverse mix of talented people want to come, to stay, and to do their best work.

80 Acres Farms participates in E-Verify. As required by law, your employment with the Company is contingent upon you providing legal proof of your identity and authorization to work in the United States. Employment decisions are made without regard to protected characteristics. All candidates will be given the same consideration.",3331975665
1,Senior Software Engineer,Terran Robotics,"Bloomington, IN",Hybrid,Full-time,1-10 employees,None,"Terran Robotics is building construction robots that turn dirt into extraordinary homes. Our cable-driven robot builds walls that are more sustainable and lower cost than both traditional stick framing and 3d printed concrete. We are using state of the art AI to control our robots which allows for novel and rapid iteration of hardware design. Our first autonomously built walls will be constructed this winter, in preparation for construction projects that are under contract for Spring 2023.

We are seeking a Software Engineer to join our team with experience in at least one of the following areas:

SLAM
Robot Control
Machine Learning
Reinforcement Learning

Our requirements are intentionally open ended - we care most about finding smart driven people excited to work on challenging problems.

Right now is a great time to join this amazing company and autonomous construction industry. You will be contributing to mission-critical projects as we take on the challenge of making housing an abundant, sustainable resource.

We are based in Bloomington, Indiana and are open to employees living nearby who are interested in working from home a couple days a week.",2841811846
2,Systems Engineer,ZF Group,Greater Lansing,Hybrid,Full-time · Mid-Senior level,"10,001+ employees",Motor Vehicle Manufacturing,"Job description:

Job Description:



Analysis and elicitation of customer requirements for automotive front camera applications.
Decompose and Develop system level requirements based on customer requirements.
Work closely with cross discipline teams and customers to capture and clarify product goals and capabilities.
Manage product requirements consistently across projects, in compliance with approved
processes and tools like IBM Doors.
Create and maintain system architecture design using tools like IBM Rhapsody.
Create requirements to fill any gaps between Core (R&D) and customer requirements.
Liaise with customer to discuss specific issues on product requirements to improve efficiency, performance, quality etc.
Work with Safety team to develop Technical Safety Requirements.
Create System FMEA & System FTA
Support the team by developing and demonstrating correct processes, templates for tools such as DOORS and Rhapsody.
Support the team in problem resolution and change management activities.


Preferred Skills and Experience:

Experience in requirements management.
Experience with DOORS
Familiarity in IBM Rhapsody
Familiarity with CANoe, CANalyzer, CANape, etc. tools.
Familiarity of ISO26262 & ASPICE
Good understanding of the ‘V’ cycle and change management
Self-motivated results-driven individual, agile and passionate about creating cutting edge ADAS Safety products.
Have worked in an engineering organization, in systems, software or electronics engineering


Required Qualification:

Bachelor’s Degree in Engineering (Electronics, electrical, software or similar discipline).
3+ years of experience in Automotive Industry
Troubleshooting, Debugging Hardware/Software, Failure Mode Analysis.",3369017400
3,Machine Learning Engineer - Graduate Internship,CVS Health,"New York, NY",,$19/hr - $34/hr · Full-time · Internship,"10,001+ employees",Wellness and Fitness Services,"Job Description

Our internship experience is an 11-week full-time opportunity that starts on May 31, 2023 and concludes on August 11, 2023.

This position is generally remote in nature at this time but will present in-person opportunities during the program.

At CVS Health, we are joined in a common purpose: helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive, and patient focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.

Who we are:

We are Americas leading health solutions company (Fortune #4), delivering care in ways no one else can. Our purpose is simple and clear: Bringing our heart to every moment of your health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.

Analytics & Behavior Change is an innovation engine supporting the entire CVS Health organization (Aetna health care business, retail, and pharmacy services) by embedding deep insights into key decision processes and focusing on our biggest, most complex problems. We partner with business leaders throughout the organization using advanced analytics tools, modeling, and machine learning to generate insights by using data to create meaningful impact. We're focused on creating new opportunities that drive change across the enterprise in areas such as:

Customer experience and behavior change

Clinical trial recruitment and engagement

Digital health

Provider efficiency and effectiveness

Patient safety

Health care cost savings

Clinical services/care management

Fraud, waste, and abuse detection/prevention

We are inspired to make a difference through data by making health care human-centered and connecting people to the information they need to feel the joy of achieving their best health. Our opportunities in Data Science and Data Engineering are designed to enhance your personal and professional growth and build the skills that lead to success. Analytics & Behavior Change has the feel of a startup within one of the nation's largest companies, and we're looking for people who are motivated by solving tough challenges to join us in transforming health care….one line of code at a time.

What you will do:

This position lies within the Analytics Engineering vertical. Analytics Engineering is the engine that powers A&BC through the development of production data and ML pipelines. This position will:

Identify opportunities related to the data science lifecycle and develop solutions

Lead the development of a Python package for data scientists, which will also be open-sourced

Embrace a product and systems mindset when developing solutions at scale

Work cross-functionally with data scientists, data engineers, and leadership

Use data to inform strategic and design decision making in addition to measuring performance and outcomes to demonstrate efficacy

Our corporate interns have an increased likelihood of receiving an offer for a future role with CVS Health.

Work visa sponsorship is available for this role. This includes participation in Curricular Practical Training (CPT), Optional Practical Training (OPT), and F-1 Visa programs.

Pay Range

The typical pay range for this role is:

Minimum: $ 18.50

Maximum: $ 33.65

Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.

Required Qualifications

Meet educational requirements (see Education section)
2+ years of programming experience with Python, SQL, and Git
1+ years of experience developing in a cloud environment (e.g., GCP, AWS, Azure)

Preferred Qualifications

An understanding of machine learning engineering principles such as distributed/parallel computing paradigms and advanced data structures
An understanding of experiment design, MLOps, and continual learning principles
Familiarity with modern libraries such as Dask, Ray, Arrow, and Rapids
Experience developing Python packages as an open source developer/contributor
Strong communication, organizational, analytical, and problem-solving skills

Education

Currently pursuing a Master’s degree program with an expected graduation date between December 2023 and August 2024
Preferred majors include Computer Science, Mathematics, Statistics, Physics, Engineering, or related STEM discipline.

Business Overview

Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.",3348026327
4,Machine Learning Engineer (MRI-Simmons),GfK,"New York, NY",On-site,Full-time · Entry level,"5,001-10,000 employees",IT Services and IT Consulting,"Country

United States of America

Job Family

Technology

For over 80 years, GfK has been a reliable and trusted insight partner for the world’s biggest companies and leading brands who make a difference in every consumer’s life - and we will continue to build on this. We connect data, science and innovative digital research solutions to provide answers for key business questions around consumers, markets, brands and media. With our headquarters in Germany and a presence in around 60 countries worldwide, you benefit from our global company with a diverse community of ~9,000 employees.

Harnessing the power of our workforce, the greatest asset we have is our people. As part of GfK, you can take your future into your own hands. We value talent, skills and responsibility and support your development within our international teams. We are proud of our heritage and our future: Currently we are in the latter stages of a transformational journey from a traditional market research company to a trusted provider of prescriptive data analytics powered by innovative technology. This is only possible with extraordinary people and this is why we are looking for YOU to help create our future. For our employees as well as for our clients we pursue one goal: Growth from Knowledge!

Job Description

Who We Are:

MRI-Simmons Research is a leading consumer insights company. We are an established organization, with a great brand, that is aggressively reinventing itself through investments in technology and people!

What We Do

MRI-Simmons measures consumer preferences, attitudes, and behaviors. We do this by collecting data through surveys and passively measured data in a way that is representative of the general population, applying data science and making sense of consumer data through enterprise-grade software. Marketers and media companies then use MRI-Simmons data and technology to develop marketing strategies, consumer segmentation schemes and media activation approaches. The MRI-Simmons Insights Product is a consumer intelligence and discovery platform that provides marketers with faster access to actionable consumer insights.

Job Description

We are looking for a Machine Learning Developer to help us extract insights from our high-quality datasets. You will work with the team on all the processes from data collection, cleaning, and pre-processing, to training models and deploying them to production. The ideal candidate will be passionate about artificial intelligence and stay up to date with the latest developments in the field. You will be analyzing ML algorithms that could be used to solve a given problem and ranking them by their success probability. This team member collaborates with Data Scientists to design tools to train machine learning models using data from across the enterprise and deploy machine learning services at various decision points across the business process. This person builds tools for monitoring the performance of machine learning applications and develops the necessary failsafe procedures that ensure the delivery of the most optimal decisions.

As the Machine Learning Developer, you will have following key accountabilities:
Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress
2+ Years in Data Analytics. Exploring and visualizing data to gain an understanding of it, then identifying differences in data distribution that could affect performance when deploying the model in the real world
Finding available datasets for training & defining validation strategies
Defining the pre-processing or feature engineering to be done on a given dataset
Ability to work in a collaborative and team environment
Now that we have introduced you to the position of Position Title, what skills, qualifications, and experience should you, have?
At least 2 years of relevant experience on Python
Experience with NLP toolkits, like NLTK, is preferred
Expertise in visualizing and manipulating big datasets
Exceptionally self-motivated with strong written and oral communication, organizational, interpersonal and time management skills
Experience in Cloud Software Services, preferably Azure.
Bachelor’s in engineering or 5 years of development experience
What We Offer
401K Match
Medical/ Vision/ Dental Insurance
Work life balance- Hybrid or Remote schedule
Tuition Assistance – up to $5,250.00 yearly
11 paid corporate Holidays
Life / Pet Insurance
Commuter Benefits
Supplier Discounts/ Plum Benefits partnership
Salary commensurate with experience, annual base salary range: $130K-$140K
At GFK we value diversity, equity, and inclusion. As part of GfK, you can take your future into your own hands. We encourage an entrepreneurial and innovative spirit.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

We are an ethical and honest company that is wholly committed to its clients and employees. We are proud to be an inclusive workplace for all and are committed to equal opportunity in employment which focuses on all of our employees reaching their full potential. At GfK we work collaboratively with our colleagues but offer a flexible working approach, including dividing our time between office & remote working as well as the opportunity to flex our working hours around team core hours.

We offer an exciting work environment that brings people together. We encourage an entrepreneurial and innovative spirit. We make use of the latest digital technologies. We are looking for self-starters, who accept challenges and create solutions.

Can there be a better place to take center stage in the digital revolution? We are excited to get to know you!",3365836600
5,Full Stack Developer,The H.T. Hackney Co.,"Grand Rapids, MI",On-site,Full-time,"1,001-5,000 employees",None,"The H. T. Hackney Co. is one of the largest wholesale grocery distribution companies in the country, with a distribution network of over 20,000 customers in 22 states. Our services include not only product distribution but also retail space management, food service solutions and vendor partner programs. We are in search of a new Full Stack Developer to join our IT Team in Grand Rapids, Michigan.

Department: Information Technology

Location: On-Site Grand Rapids, Michigan (no remote option)

Responsibilities:
Analysis, development, documentation, maintenance, and support of our Web Portal.
API development to support our Mobile App.
Implement application changes in a planned and organized manner.
Daily support of the systems to meet the demands of the business.

Qualifications:
Bachelor degree in Computer Science or related field.
Experience in Full Stack development and Object Oriented programming.
Strong analytical, problem solving and communication skills.
Experience with PHP, PHP Classes, JavaScript, JavaScript Classes, jQuery, HTML5, Cascading Style Sheets, SQL, AJAX, JSON, Postman, Slack, Gitlab and API development.

Additional Preferred Experience:
Experience with React, Visual Studio, Twitter Bootstrap, IBM System i RPGLE, DB2, YAML, Xamarin , Data Dog, Pager Duty, Nagios and AWS Services.
Experience working in a distribution environment.

Benefits:
Medical, Dental and Vision Insurance
Life and Disability Insurance
401k with employer contributions",3369787004
6,Platform Engineer,Nebulous Systems,United States,Remote,"$10,000/month · Full-time",1-10 employees,None,"We're looking for extraordinary Platform Engineers to join our team!

Nebulous Systems is a seed-stage tech startup building a self-service developer platform powered by Kubernetes. We're looking for driven engineers to help build and maintain our Internal Developer Platform (IDP), as well as the Developer Experience (DevEx) Platform we plan to offer commercially. You will work closely with and further develop our infrastructure tooling to ensure the health, stability, and maintainability of our clusters.

90 Day Contract:

Salary: $10,000/mo.

Nebulous Systems is an all-remote organization open to candidates in all time zones. This is a full-time contract-to-hire position, lasting 90 days.

Requirements:

Technical
1. Strong programming skills (we mostly use Go/TypeScript but are more concerned with solid fundamentals)
2. Deep knowledge of Linux, container environments, and bash
3. Extensive experience with at least one major cloud provider (AWS preferred)
4. Infrastructure as code (e.g. Crossplane, Terraform). We use Crossplane.
6. Proficient in the Kubernetes ecosystem
7. Experience designing, understanding, and debugging complex distributed systems

Collaboration and Communication
1. Self-organize through epics, stories, tasks, and sub-tasks
2. Improve documentation all around, either in application or internal documentation, explaining the why, not stopping with the how or what
3. Root cause analysis and corrective actions

Nice to Haves
- Familiarity with developing Kubernetes operators, controllers, and custom CRDs
- Familiarity with contributing to open-source Crossplane providers
- Experience deploying, operating, and using major production-level databases.
- Experience deploying and maintaining Kubernetes clusters at scale. Knowledge of Kubernetes cluster orchestration tools like kubeadm or kops is a plus. We manually deploy with kubeadm

Our Tech Stack:

Internal Tools
- GitHub
- Obsidian (MD: documentation/notes)
- Asana (temporary Project Management tool), will be replaced with in-house P.M software
- Zoom (temporary Audio/Video tool), will be replaced with in-house A/V software
- Slack (temporary Comms. tool), will be replaced with in-house Comms. software
- Gmail (temporary Email service), will be replaced with in-house Email service
- Visual Studio Code (preference, but highly recommended)

Main Software
Kubernetes / Helm / ArgoCD / Crossplane / KubeVela / Tekton / Tanka / Karpenter / KEDA / Backstage / Prometheus / Grafana / Promtail / Loki / Mimir / Tempo / Phlare / Faro / k6s / OpenTelemetry / Teleport / Telepresence / CoreDNS / Open Policy Agent / Vault / Consul / Dapr / Dragonfly / Harbor / Containerd / Velero / Capsule / vcluster / Kubescape-ARMO / Packer / ceph-operator / Reflector / Docker / kind / Rancher Desktop / k3d

Databases
Redis / PostgreSQL / MongoDB / Cassandra / SurrealDB

Languages
Go / TypeScript

Communication Protocols
gRPC / tRPC / GraphQL / REST

What You’ll Do in a Typical Week:

Every other Monday we plan our upcoming Sprint that lasts for 2 weeks. We use Sprints to track our holistic progress. Project Management is done via Kanban.

Most days you will spend solving a multitude of challenges to either build our internal self-service developer platform, unblock software engineers, or contribute to underdeveloped OSS. The goal of Platform Engineers at NebSys is to build the rails and set the guidelines for developers to follow. This includes R&D of new tools, more functionality to implement, etc.

You'll work closely with the Software Engineering team on specific projects. The majority of the time, however, is spent within Platform Engineering.

The last part of your role will be to contribute to underdeveloped open-source Crossplane providers, so that we can expand to multi-cloud properly.

The bare bones of what we do rely on K8s, Crossplane, AWS, KubeVela, ArgoCD, Tekton, Teleport, Backstage.io, Grafana Observability Stack, and GitHub. The other tools can be learned along the way.

About Nebulous Systems:

Nebulous Systems is the creator of the Hydra platform, an IDP / Developer Experience Platform. Our goal is to be pioneers of the software industry. Founded in 2022 by James Riordan (CEO) and Justin Weintraub (CTO).

Why work for us?:

At Nebulous Systems, we value innovation, creativity, and passion. A company's greatest asset is its employees. A+ engineers only want to work with the best. When the brightest minds clash, innovation ensues. As Jobs famously put, teamwork is like rocks inside a rock tumbler. ""It's through the act of bumping into each other, tumbling together through the process of being a team that we polish each other and help each other to really shine"".

We believe in an engineer-driven culture. Technology is what makes the impossible, possible. Throughout history, any given time period is best remembered for the technology that made the greatest impact. Business is no different. We are building a platform that will serve as the bedrock for all future projects and expansion. By investing in a solid foundation, we can reap the rewards of faster development times, flexibility, happier developers, and autonomy; all around a better experience for our developers.

Benefits
- Equity + Higher Salary (negotiated after 90 Day Contract)
- Flexible time off
- Quarterly + Annual Bonus

Say goodbye to
- daily stand-ups
- tight deadlines
- burnout (no guarantees)

""The greatest people are self-managing. They don't need to be managed. Once they know what to do, they'll go figure out how to do it, they don't need to be managed at all. What they need is a common vision- and that's what leadership is.""

We want people that are insanely great at what they do, but not necessarily such seasoned professionals- but at the tips of their fingers and in their passion have the latest understanding of where technology is at, and what we can do with it.

If you're passionate about shaping the future of technology, come join Nebulous Systems and help expand our digital platform. Apply Here!",3369520289
7,Engineer - Pumps & Systems,AquFlow Pumps,"Irvine, CA",On-site,,None,None,"Experienced Engineer for a small pump but established (for over 50 years) manufacturer who can work with CAD and Solidworks to design, modify and manufacture pumps, systems and assemblies. Troubleshoot manufacturing issues with the technicians, find solutions and implement continuous improvement. The person needs to be detailed oriented and a conscientious hard worker. Growth opportunities for the person with right attitude and results.
Process oriented individuals who need minimal supervision and who have the ability to lead small teams. Experience with hydraulics, electrical, electronics and castings, machined components in metals and plastics is desirable.

AquFlow manufactures hydraulic diaphragm chemical metering pumps. Initially established in 1972 (as Hydroflo) we serve various markets such as water treatment, oil & gas, chemical processing in US as well as overseas. 

Responsibilities
Product and Manufacturing Engineering responsibilities. See above.
Solidworks
Product development
Sourcing
Troubleshooting
PLCs and Controls

Qualifications
Attention to details.
Experience with the pumps and the water treatment industry preferred.",3365882048
8,Engineer - Pumps & Systems,AquFlow Pumps,"Irvine, CA",On-site,"$70,000/yr - $100,000/yr · Full-time",11-50 employees,None,"Experienced Engineer for a small pump but established (for over 50 years) manufacturer who can work with CAD and Solidworks to design, modify and manufacture pumps, systems and assemblies. Troubleshoot manufacturing issues with the technicians, find solutions and implement continuous improvement. The person needs to be detailed oriented and a conscientious hard worker. Growth opportunities for the person with right attitude and results.
Process oriented individuals who need minimal supervision and who have the ability to lead small teams. Experience with hydraulics, electrical, electronics and castings, machined components in metals and plastics is desirable.

AquFlow manufactures hydraulic diaphragm chemical metering pumps. Initially established in 1972 (as Hydroflo) we serve various markets such as water treatment, oil & gas, chemical processing in US as well as overseas.

Responsibilities
Product and Manufacturing Engineering responsibilities. See above.
Solidworks
Product development
Sourcing
Troubleshooting
PLCs and Controls

Qualifications
Attention to details.
Experience with the pumps and the water treatment industry preferred.",3365882048
9,Strategic Software Developer,Center for Transportation and the Environment,"Atlanta, GA",On-site,,None,None,"Strategic Software Developer
If interested, please submit a current resume and cover letter to recruiting@cte.tv.
 About CTE
The Center for Transportation and the Environment (CTE) is a member-supported 501(c)(3) nonprofit organization that develops, promotes, and implements advanced transportation technologies, vehicles, and fuels that reduce environmental pollution and fossil fuel dependency. CTE is a passionate, progressive workplace open to employee-driven ideas and opportunities. CTE is headquartered in Atlanta, GA with offices in Berkeley, Los Angeles, and St. Paul.
 This job opportunity is available in Atlanta.
 CTE’s mission is to improve the health of our climate and communities by bringing people together to develop and commercialize clean, efficient, and sustainable transportation technologies. Since 1993, CTE has managed a portfolio of over $800 million in team research, development, and demonstration projects. We’ve helped over 200 US companies move their technologies into the global energy and transportation mainstream. Currently, CTE is heavily involved in the deployment of electric vehicles across the U.S. CTE works closely with vehicle manufacturers, component providers, and fleet operators, including transit agencies and logistics organizations across the country. To learn more about CTE, please visit www.cte.tv.
 Our Commitment to Diversity, Equity, and Inclusion
CTE is committed to championing inclusivity, diversity, and equity through our pursuit of a zero-emission future. We are motivated by our mission to improve the health of our climate for all people. Our staff seek to create a community where your identity is not only embraced, but celebrated. Whatever your race, ethnicity, sexuality, gender, religion, or socioeconomic status may be, we welcome and encourage all individuals to join us in transforming transportation.
 Position Summary 
CTE projects involve project management and technical advisory services for a variety of projects focused on the planning, analysis, and deployment of battery electric and fuel cell vehicles and related fueling infrastructure for public and commercial fleets. CTE is seeking a Strategic Software Developer to develop, maintain, and enhance all software tools used in the execution of CTE services, including tools for engineering services, development and demonstration, education and outreach, new markets, and proposal services. The main objective of the Strategic Software Developer is to develop tools that make CTE services more efficient, more accurate, more consistent, more secure, and more professional.
 Position Responsibilities
Develop, maintain, and implement software tools in support of transportation electrification projects
Develop back-end data solutions, including data pipelines and data processing methodology
Develop and maintain web applications using Plotly’s Dash framework and manage the deployments across CTE’s projects
Help oversee the functionality and maintenance of existing software tools and processes
Help determine when new software tools or processes are needed
Maintain subject matter expertise in the areas of zero emission vehicle performance, route modeling, charge modeling, utility rate modeling, electric vehicle feasibility, fleet transition planning, and key performance indicator (KPI) reporting
Develop standard operating procedures around software tools to aid in staff training
Provide training to use software tools in CTE’s daily operations for new and existing employees
Demonstrate effective verbal and written communication skills
Understand and comply with federal, state, and local reporting requirements
 Required Qualifications
2+ years programming experience with fluency in Python
Extensive experience with data analysis and data visualization
Comfort working with large datasets using tools such as PostgresSQL and Redis, as well as cloud storage solutions such as AWS’s storage services
Experience managing/processing large datasets with packages such as Pandas, Numpy, Dask, and/or Vaex
Knowledge of software development best practices and management systems, including git, issue tracking, and others
Working knowledge of web application technologies (HTML, CSS, JavaScript)
Legally eligible to work in the United States
 Desired Qualifications
Familiarity with open-source Dash and the Plotly graphing libraries
Experience with web application technologies such as Flask, React, Django, and similar
Familiarity with the Enterprise technology stack (LDAP, SAML, Cloud, Data Security, Access and Process controls, etc.)
Familiarity or experience with vehicle mechanics
Familiarity with zero emission vehicle fleet transition planning and deployment
Familiarity or experience with electric utility and infrastructure projects
 Salary Range
$100,000 – $150,000
 Benefits Summary
Medical, Dental, Vision, STD, LTD, and Life Insurance
Medical and Dependent Care FSA
401k Match
PTO (Vacation, Sick Leave, Holidays, Volunteer Time)
Paid Family Leave
Flexible Work Schedule/Hybrid Work Arrangement
Education Assistance
Phone, Public Transportation, and Parking Subsidies
Computer Equipment
Valued at approximately $20,000-$25,000/year
 How to Apply
Please submit a current resume and cover letter to recruiting@cte.tv.
 CTE is an equal opportunity employer. We do not discriminate on the basis of race, color, religion, national origin, ancestry, sex, age, sexual orientation, gender, gender identification, gender expression, marital status, HIV status, disability, or any other status protected by laws or regulations. All employment decisions are based on business need, qualifications, and merit.",3367165251
